Date,Share Code,Issuer Name,Investor Name,Percentage
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,ADARO STRATEGIC INVESTMENTS,41.1
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,ALAMTRI RESOURCES INDONESIA TBK PT,15.37
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,GARIBALDI THOHIR,5.83
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,SARATOGA INVESTAMA SEDAYA TBK PT,4.38
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,EDWIN SOERYADJAYA,3.52
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,IR T. PERMADI RACHMAT,3.27
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,SANDIAGA SALAHUDDIN UNO,2.04
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,PERSADA CAPITAL INVESTAMA,1.54
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,FTAG INVESTMENT BANK LTD,1.29
27-Feb-2026,AADI,ADARO ANDALAN INDONESIA TBK,PT TRINUGRAHA THOHIR,1.15
27-Feb-2026,AALI,ASTRA AGRO LESTARI TBK,PT ASTRA INTERNATIONAL TBK,79.68
27-Feb-2026,ABBA,MAHAKA MEDIA TBK,PT. BEYOND MEDIA,40.47
27-Feb-2026,ABBA,MAHAKA MEDIA TBK,SOLIC KREASI BARU PT,13.77
27-Feb-2026,ABBA,MAHAKA MEDIA TBK,DRS WINARTO,4.54
27-Feb-2026,ABBA,MAHAKA MEDIA TBK,KAIROS EKSPRES INTERNASIONAL PT,1.33
27-Feb-2026,ABBA,MAHAKA MEDIA TBK,PTGRID ONE MEDIA,1.11
27-Feb-2026,ABBA,MAHAKA MEDIA TBK,TJEN FOENG FA,1.06
27-Feb-2026,ABDA,ASURANSI BINA DANA ARTA TBK,MAYBANK SECURITIES PTE. LTD.,4.91
27-Feb-2026,ABDA,ASURANSI BINA DANA ARTA TBK,DBS BANK LTD.,4.51
27-Feb-2026,ABDA,ASURANSI BINA DANA ARTA TBK,SKYLIGHT INVESTMENT LTD,3.5
27-Feb-2026,ABMM,ABM INVESTAMA TBK,PT TIARA MARGA TRAKINDO,53.56
27-Feb-2026,ABMM,ABM INVESTAMA TBK,VALLE VERDE PTE LTD,25.51
27-Feb-2026,ABMM,ABM INVESTAMA TBK,DRS LO KHENG HONG.,5.62
27-Feb-2026,ABMM,ABM INVESTAMA TBK,NOBLE INVESTMENT CORPORATION (SPC) LTD.,3.5
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA TBK,PT KAWAN LAMA SEJAHTERA,60
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA TBK,DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,2.89
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA TBK,GOVERNMENT OF NORWAY,1.38
27-Feb-2026,ACES,ASPIRASI HIDUP INDONESIA TBK,NT TST CO S/A EDGBASTON ASIAN EQUITY (JERSEY) TRUST,1.14
27-Feb-2026,ACRO,SAMCRO HYOSUNG ADILESTARI TBK,TAE SUNG CHUNG,78.4
27-Feb-2026,ACRO,SAMCRO HYOSUNG ADILESTARI TBK,JOO HEE KO,4.48
27-Feb-2026,ACRO,SAMCRO HYOSUNG ADILESTARI TBK,SUMAN KIM,3.79
27-Feb-2026,ACRO,SAMCRO HYOSUNG ADILESTARI TBK,KYUNGHEE KO,3.06
27-Feb-2026,ACST,ACSET INDONUSA TBK,PT. KARYA SUPRA PERKASA,91.17
27-Feb-2026,ADCP,ADHI COMMUTER PROPERTI TBK,ADHI KARYA PERSERO TBK PT.,90
27-Feb-2026,ADES,AKASHA WIRA INTERNATIONAL TBK,WATER PARTNERS BOTTLING SA,91.35
27-Feb-2026,ADES,AKASHA WIRA INTERNATIONAL TBK,DRS SURONO SUBEKTI,1.04
27-Feb-2026,ADHI,ADHI KARYA (PERSERO) TBK,PANIN SEKURITAS TBK PT,2.68
27-Feb-2026,ADHI,ADHI KARYA (PERSERO) TBK,PT. MITRACOMM EKASARANA,1.88
27-Feb-2026,ADHI,ADHI KARYA (PERSERO) TBK,SALIM LIM,1.67
27-Feb-2026,ADHI,ADHI KARYA (PERSERO) TBK,PT WARUNA NUSASENTANA,1.14
27-Feb-2026,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK,BANK DANAMON INDONESIA TBK PT - REGISTRAR,74.5
27-Feb-2026,ADMF,ADIRA DINAMIKA MULTI FINANCE TBK,MUFG BANK LTD,18.92
27-Feb-2026,ADMG,POLYCHEM INDONESIA TBK,GAJAH TUNGGAL TBK. PT.,25.56
27-Feb-2026,ADMG,POLYCHEM INDONESIA TBK,PT SATYA MULIA GEMA GEMILANG,10.42
27-Feb-2026,ADMG,POLYCHEM INDONESIA TBK,SOETIKNO HARTO SOEWITO,2.65
27-Feb-2026,ADMG,POLYCHEM INDONESIA TBK,DRS LO KHENG HONG.,1.29
